time,price,quantity,source,buyer,seller,initiator
20150821T153000,24.9,186,Auto trade,,,
20150821T153002,24.92,100,Auto trade,,,
20150821T153002,24.94,100,Auto trade,,,
20150821T153003,24.94,900,Auto trade,,,
20150821T153005,24.94,2700,Auto trade,,,
20150821T153005,24.93,100,Auto trade,,,
20150821T153007,24.93,1633,Auto trade,,,
20150821T153008,24.94,100,Auto trade,,,
20150821T153012,24.94,200,Auto trade,,,
20150821T153012,24.935,100,Auto trade,,,
20150821T153013,24.95,1000,Auto trade,,,
20150821T153013,24.945,100,Auto trade,,,
20150821T153013,24.95,100,Auto trade,,,
20150821T153015,24.94,300,Auto trade,,,
20150821T153015,24.93,100,Auto trade,,,
20150821T153015,24.94,600,Auto trade,,,
20150821T153015,24.93,100,Auto trade,,,
20150821T153015,24.94,600,Auto trade,,,
20150821T153015,24.95,100,Auto trade,,,
20150821T153015,24.94,200,Auto trade,,,
20150821T153015,24.95,100,Auto trade,,,
20150821T153015,24.96,100,Auto trade,,,
20150821T153015,24.95,100,Auto trade,,,
20150821T153015,24.96,100,Auto trade,,,
20150821T153015,24.97,700,Auto trade,,,
20150821T153016,24.97,200,Auto trade,,,
20150821T153016,24.96,1000,Auto trade,,,
20150821T153016,24.97,100,Auto trade,,,
20150821T153018,24.97,600,Auto trade,,,
20150821T153018,24.96,1000,Auto trade,,,
